"#","","Zip Code","Stat","Tower Name","Address","Unit Number","Current Price","Approx Liv Area","Beds Total","Baths Total","Actual Close Date","Total Monthly CIC","DOM","Sold Term","List Agent Full Name","List Agent ID","Selling Agent Full Name","Selling/Showing Agent ID"
"501","2528842","89103","S","PALMS PLACE","4381 West Flamingo RD","5101","$520,000","1,220","1","2","01/22/2024","$1,098.50","84","CONV","Michael A. Czmil","237897","Leslie Reese","231539"
"501","2535253","89109","S","SIGNATURE AT MGM GRAND","145 East Harmon AVE","1118","$310,000","520","0","1","01/22/2024","$800.67","88","Cash","Leslie Reese","231539","Zack Schilling","099374"
"501","2535015","89109","S","SIGNATURE AT MGM GRAND","145 East Harmon AVE","1120","$410,000","874","1","2","01/22/2024","$1,600.25","88","Cash","Leslie Reese","231539","Zack Schilling","099374"
"501","2482538","89158","S","VEER CITYCENTER","3726 LAS VEGAS BLVD","310","$315,000","562","0","1","01/22/2024","$525.00","220","OWC","Heidi L Williams","229220","Heidi L. Williams","229220"
"501","2532991","89169","S","CASABLANCA","750 South Royal Crest CIR","324","$205,000","1,122","2","2","01/22/2024","$385.00","77","Cash","Tania Michaels","222285","Lynnann M. Priola","231541"
"501","2539466","89109","S","SIGNATURE AT MGM GRAND","125 East Harmon AVE","2619","$330,000","520","0","1","01/19/2024","$800.58","48","Cash","Kristine M. Murray","236821","Heidi L. Williams","229220"
"501","2458389","89109","S","SIGNATURE AT MGM GRAND","125 East Harmon AVE","2718","$310,000","520","0","1","01/19/2024","$706.00","313","Cash","Steve K Lee","213441","Jung H. Kim","242606"
"501","2547488","89109","S","SIGNATURE AT MGM GRAND","125 East Harmon AVE","702","$355,000","874","1","2","01/19/2024","$1,416.00","11","Cash","James J. McGuire","229454","David S. Hofer","226271"
"501","2546851","89109","S","SIGNATURE AT MGM GRAND","145 East Harmon AVE","3415","$385,000","520","0","1","01/19/2024","$875.00","0","CONV","Jim R. Brooks","203473","Tyler P. Yates","243656"
"501","2532155","89109","S","TURNBERRY TOWERS","222 Karen AVE","2205","$387,500","814","1","2","01/19/2024","$595.00","91","CONV","Lauren Stark","093339","Debra D. Elvena","204126"
"501","2553909","89158","S","WALDORF ASTORIA","3750 Las Vegas BLVD","2708","$3,550,000","2,910","2","3","01/19/2024","$3,477.00","3","Cash","Thomas Grambo","253849","Julia A. Grambo","229240"
